drug,rxcui,name,n_openfda_labels
acetaminophen,198440,acetaminophen 500 MG Oral Tablet,382
acetaminophen,307668,acetaminophen 32 MG/ML Oral Suspension,255
acetaminophen,1148399,8 HR acetaminophen 650 MG Extended Release Oral Tablet,120
acetaminophen,313782,acetaminophen 325 MG Oral Tablet,104
acetaminophen,313820,acetaminophen 160 MG Chewable Tablet,49
acetaminophen,307675,acetaminophen 32 MG/ML Oral Solution,37
acetaminophen,307684,acetaminophen 33.3 MG/ML Oral Solution,21
acetaminophen,483017,100 ML acetaminophen 10 MG/ML Injection,21
acetaminophen,198439,acetaminophen 500 MG Oral Capsule,13
acetaminophen,307696,acetaminophen 80 MG Chewable Tablet,10
acetaminophen,198434,acetaminophen 120 MG Rectal Suppository,9
acetaminophen,2480095,50 ML acetaminophen 10 MG/ML Injection,4
acetaminophen,198444,acetaminophen 650 MG Oral Tablet,3
acetaminophen,665056,acetaminophen 500 MG Chewable Tablet,3
acetaminophen,198436,acetaminophen 325 MG Oral Capsule,2
acetaminophen,198443,acetaminophen 650 MG Rectal Suppository,2
acetaminophen,2178755,acetaminophen 160 MG Oral Powder,2
acetaminophen,2683419,acetaminophen 250 MG Chewable Tablet,2
acetaminophen,198437,acetaminophen 325 MG Rectal Suppository,1
acetaminophen,198445,acetaminophen 80 MG Rectal Suppository,1
acetaminophen,2374360,acetaminophen 500 MG Oral Powder,1
acetaminophen,2668206,acetaminophen 500 MG Granules for Oral Solution,1
acetaminophen,2705808,acetaminophen 80 MG Oral Film,1
acetaminophen,2715604,65 ML acetaminophen 10 MG/ML Injection,1
acetaminophen,2719840,acetaminophen 45 MG/ML Oral Solution,1
acetaminophen,477282,acetaminophen 160 MG Disintegrating Oral Tablet,1
acetaminophen,104906,acetaminophen 24 MG/ML Oral Solution,0
acetaminophen,152620,acetaminophen 240 MG Rectal Suppository,0
acetaminophen,1536880,acetaminophen 500 MG Effervescent Oral Tablet,0
acetaminophen,1661683,acetaminophen 16.7 MG/ML Oral Solution,0
acetaminophen,204900,acetaminophen 16 MG/ML Oral Solution,0
acetaminophen,2264779,acetaminophen 325 MG Chewable Tablet,0
acetaminophen,226882,acetaminophen 60 MG Rectal Suppository,0
acetaminophen,238159,acetaminophen 100 MG/ML Oral Solution,0
acetaminophen,243675,acetaminophen 100 MG/ML Oral Suspension,0
acetaminophen,248316,acetaminophen 50 MG/ML Oral Solution,0
acetaminophen,249875,acetaminophen 250 MG Rectal Suppository,0
acetaminophen,250649,acetaminophen 50 MG/ML Oral Suspension,0
acetaminophen,250650,acetaminophen 24 MG/ML Oral Suspension,0
acetaminophen,250651,acetaminophen 500 MG Rectal Suppository,0
acetaminophen,251374,acetaminophen 80 MG Disintegrating Oral Tablet,0
acetaminophen,251698,acetaminophen 300 MG Rectal Suppository,0
acetaminophen,282464,acetaminophen 160 MG Oral Tablet,0
acetaminophen,307666,acetaminophen 125 MG Rectal Suppository,0
acetaminophen,307667,acetaminophen 160 MG Oral Capsule,0
acetaminophen,307695,acetaminophen 80 MG Oral Capsule,0
acetaminophen,348978,acetaminophen 300 MG Oral Tablet,0
acetaminophen,388081,acetaminophen 250 MG Disintegrating Oral Tablet,0
acetaminophen,392293,acetaminophen 48.2 MG/ML Oral Solution,0
acetaminophen,421071,acetaminophen 100 MG Rectal Suppository,0
acetaminophen,422626,acetaminophen 25 MG/ML Oral Suspension,0
acetaminophen,425723,acetaminophen 120 MG/ML Oral Solution,0
acetaminophen,430837,acetaminophen 1000 MG Oral Tablet,0
acetaminophen,437160,acetaminophen 20 MG/ML Oral Suspension,0
acetaminophen,603136,acetaminophen 325 MG Disintegrating Oral Tablet,0
ibuprofen,310965,ibuprofen 200 MG Oral Tablet,347
ibuprofen,310964,ibuprofen 200 MG Oral Capsule,166
ibuprofen,197803,ibuprofen 20 MG/ML Oral Suspension,164
ibuprofen,197807,ibuprofen 800 MG Oral Tablet,119
ibuprofen,197806,ibuprofen 600 MG Oral Tablet,103
ibuprofen,197805,ibuprofen 400 MG Oral Tablet,75
ibuprofen,204442,ibuprofen 40 MG/ML Oral Suspension,42
ibuprofen,310963,ibuprofen 100 MG Chewable Tablet,39
ibuprofen,1747294,2 ML ibuprofen 10 MG/ML Injection,3
ibuprofen,197804,ibuprofen 300 MG Oral Tablet,1
ibuprofen,198405,ibuprofen 100 MG Oral Tablet,1
ibuprofen,2178273,200 ML ibuprofen 4 MG/ML Injection,1
ibuprofen,854183,8 ML ibuprofen 100 MG/ML Injection,1
ibuprofen,141997,ibuprofen 0.05 MG/MG Topical Gel,0
ibuprofen,141998,ibuprofen 50 MG/ML Topical Cream,0
ibuprofen,142102,ibuprofen 50 MG/ML Topical Spray,0
ibuprofen,226617,ibuprofen 50 MG/ML Topical Foam,0
ibuprofen,227159,ibuprofen 200 MG Extended Release Oral Capsule,0
ibuprofen,245417,ibuprofen 400 MG Oral Capsule,0
ibuprofen,250418,ibuprofen 800 MG Extended Release Oral Tablet,0
ibuprofen,314047,ibuprofen 50 MG Chewable Tablet,0
ibuprofen,380813,ibuprofen 300 MG Extended Release Oral Capsule,0
ibuprofen,389244,ibuprofen 0.1 MG/MG Topical Gel,0
warfarin,855332,warfarin sodium 5 MG Oral Tablet,22
warfarin,855302,warfarin sodium 2 MG Oral Tablet,20
warfarin,855312,warfarin sodium 2.5 MG Oral Tablet,20
warfarin,855296,warfarin sodium 10 MG Oral Tablet,17
warfarin,855288,warfarin sodium 1 MG Oral Tablet,15
warfarin,855324,warfarin sodium 4 MG Oral Tablet,15
warfarin,855318,warfarin sodium 3 MG Oral Tablet,13
warfarin,855344,warfarin sodium 7.5 MG Oral Tablet,13
warfarin,855338,warfarin sodium 6 MG Oral Tablet,9
warfarin,855350,warfarin sodium 0.5 MG Oral Tablet,0
