id,ingredients,product_type,rxcui,note
acetaminophen_325mg_tab,acetaminophen,HUMAN OTC DRUG,,US regular strength - rxcui required (shares ingredient)
acetaminophen_500mg_tab,acetaminophen,HUMAN OTC DRUG,,US extra strength and UK standard - rxcui required
ibuprofen_200mg_tab,ibuprofen,HUMAN OTC DRUG,,standard OTC strength
ibuprofen_800mg_tab,ibuprofen,HUMAN PRESCRIPTION DRUG,,common prescription strength
warfarin_tab,warfarin,HUMAN PRESCRIPTION DRUG,,label usually covers all strengths
lithium_carbonate_cap,lithium,HUMAN PRESCRIPTION DRUG,,immediate-release capsules
levothyroxine_tab,levothyroxine,HUMAN PRESCRIPTION DRUG,,oral tablets
digoxin_tab,digoxin,HUMAN PRESCRIPTION DRUG,,oral tablets
sertraline_tab,sertraline,HUMAN PRESCRIPTION DRUG,,oral tablets
fluoxetine_cap,fluoxetine,HUMAN PRESCRIPTION DRUG,,oral capsules
tramadol_ir_tab,tramadol,HUMAN PRESCRIPTION DRUG,,immediate release not ER
simvastatin_tab,simvastatin,HUMAN PRESCRIPTION DRUG,,oral tablets
amlodipine_tab,amlodipine,HUMAN PRESCRIPTION DRUG,,oral tablets
metformin_ir_tab,metformin,HUMAN PRESCRIPTION DRUG,,immediate release not ER
gabapentin_cap,gabapentin,HUMAN PRESCRIPTION DRUG,,oral capsules
apixaban_tab,apixaban,HUMAN PRESCRIPTION DRUG,,oral tablets
metoprolol_tartrate_tab,metoprolol,HUMAN PRESCRIPTION DRUG,,immediate release - rxcui required (shares ingredient)
metoprolol_succinate_er_tab,metoprolol,HUMAN PRESCRIPTION DRUG,,extended release - rxcui required
acetaminophen_hydrocodone_tab,acetaminophen; hydrocodone,HUMAN PRESCRIPTION DRUG,,combination product
